layer,avg_U_similarity_ft,avg_V_similarity_ft,min_U_similarity_ft,max_U_similarity_ft,spectral_intruder_count_ft,layer_id,module,drift_U_ft,drift_V_ft,spectral_drift_ft,model_ft,avg_U_similarity_lora,avg_V_similarity_lora,min_U_similarity_lora,max_U_similarity_lora,spectral_intruder_count_lora,drift_U_lora,drift_V_lora,spectral_drift_lora,model_lora,delta_ft_lora
model.layers.9.mlp.down_proj.weight,-0.2996695011854172,-0.2996651738882064,-0.9999133348464966,0.999998152256012,13,9,down_proj,1.2996695011854171,1.2996651738882063,15.599334675073624,finetuned,1.000000125169754,1.0000001937150955,0.9999998807907104,1.000000238418579,0,-1.2516975389509355e-07,-1.9371509552001953e-07,-3.188848494151131e-07,lora,15.599334993958474
model.layers.10.self_attn.q_proj.weight,0.9998397678136826,0.99984190762043,0.9993059635162354,0.9999918937683104,0,10,q_proj,0.00016023218631744385,0.00015809237956998512,0.00031832456588742897,finetuned,1.000000047683716,1.0000000834465026,0.9999998211860656,1.000000238418579,0,-4.7683716086766026e-08,-8.344650259672903e-08,-1.3113021868349506e-07,lora,0.00031845569610611246
model.layers.10.self_attn.k_proj.weight,0.999904438853264,0.9999013602733612,0.9995574951171876,0.9999958276748656,0,10,k_proj,9.5561146736034e-05,9.863972663881615e-05,0.00019420087337485015,finetuned,1.0000000655651091,0.9999999076128006,0.9999999403953552,1.0000001192092896,0,-6.556510911970292e-08,9.238719944626439e-08,2.6822090326561465e-08,lora,0.00019417405128452359
model.layers.10.self_attn.v_proj.weight,0.3971384048461914,0.3971348375082016,-0.99977844953537,0.9989376664161682,6,10,v_proj,0.6028615951538085,0.6028651624917984,7.205726757645607,finetuned,1.0000000447034836,1.0000000149011612,0.9999998807907104,1.000000238418579,0,-4.470348358154297e-08,-1.4901161193847656e-08,-5.960464477539063e-08,lora,7.205726817250252
model.layers.10.self_attn.o_proj.weight,0.6995470225811005,0.6995440065860749,-0.999986469745636,0.9999908804893494,3,10,o_proj,0.30045297741889954,0.30045599341392515,3.600908970832825,finetuned,1.000000062584877,1.0000000715255737,0.9999998807907104,1.000000238418579,0,-6.258487705856908e-08,-7.152557368605983e-08,-1.341104507446289e-07,lora,3.6009091049432755
model.layers.10.mlp.gate_proj.weight,0.8999576926231384,0.8999698907136917,-0.999960482120514,0.999990463256836,1,10,gate_proj,0.1000423073768616,0.10003010928630829,1.2000724166631698,finetuned,0.9999999821186064,1.0000001311302185,0.9999998211860656,1.000000238418579,0,1.788139358804841e-08,-1.3113021846145045e-07,-1.1324882487340204e-07,lora,1.2000725299119948
model.layers.10.mlp.up_proj.weight,0.7986395478248596,0.7986579209566116,-0.9993162155151368,0.9999746084213256,2,10,up_proj,0.20136045217514043,0.2013420790433884,2.402702531218529,finetuned,1.0000000655651091,1.000000274181366,0.9999998211860656,1.000000238418579,0,-6.556510911970292e-08,-2.741813660556147e-07,-3.3974647517531764e-07,lora,2.402702870965004
model.layers.10.mlp.down_proj.weight,0.9999209225177764,0.9999051034450532,0.99965238571167,0.9999989867210388,0,10,down_proj,7.907748222357736e-05,9.489655494676619e-05,0.00017397403717034354,finetuned,1.0000000566244125,1.0000001639127731,0.9999998211860656,1.000000238418579,0,-5.662441249221217e-08,-1.6391277313232422e-07,-2.205371856245364e-07,lora,0.00017419457435596808
model.layers.11.self_attn.q_proj.weight,0.9994979292154312,0.9994992792606354,0.9966042041778564,0.9999980330467224,0,11,q_proj,0.0005020707845687644,0.0005007207393645796,0.001002791523933344,finetuned,1.0000000953674315,1.0000001698732377,0.9999998807907104,1.000000238418579,0,-9.536743150739824e-08,-1.6987323769868112e-07,-2.6524066920607936e-07,lora,0.0010030567646025501
model.layers.11.self_attn.k_proj.weight,0.0996489584445953,0.0996493071317672,-0.9999268054962158,0.999939262866974,9,11,k_proj,0.9003510415554047,0.9003506928682328,10.800701734423637,finetuned,1.0000000596046448,1.0000000983476638,0.9999998807907104,1.000000238418579,0,-5.960464477539063e-08,-9.834766379057669e-08,-1.5795230856596731e-07,lora,10.800701892375946
